   0.00000000       0.00000000    
  0.313913852       4.93135303E-03
  0.626356959       1.96840614E-02
  0.935866535       4.41343524E-02
   1.24099588       7.80768469E-02
   1.54032195      0.121225975    
   1.83245385      0.173217893    
   2.11603999      0.233612984    
   2.38977480      0.301898777    
   2.65240645      0.377493352    
   2.90274358      0.459749460    
   3.13966179      0.547958791    
   3.36210990      0.641356826    
   3.56911373      0.739128113    
   3.75978446      0.840411544    
   3.93331933      0.944306672    
   4.08900976       1.04987943    
   4.22624063       1.15616882    
   4.34449863       1.26219380    
   4.44336987       1.36695933    
   4.52254248       1.46946359    
   4.58181190       1.56870520    
   4.62107611       1.66369021    
   4.64033890       1.75343835    
   4.63970852       1.83699119    
   4.61939764       1.91341758    
   4.57971811       1.98182154    
   4.52108240       2.04134750    
   4.44399977       2.09118843    
   4.34907103       2.13058853    
   4.23698711       2.15885329    
   4.10852146       2.17535067    
   3.96452856       2.17951870    
   3.80593657       2.17086864    
   3.63374090       2.14898896    
   3.44899988       2.11355066    
   3.25282693       2.06430745    
   3.04638433       2.00110126    
   2.83087564       1.92386174    
   2.60753870       1.83260953    
   2.37763834       1.72745597    
   2.14245915       1.60860467    
   1.90329707       1.47634923    
   1.66145205       1.33107471    
   1.41822088       1.17325485    
   1.17488837       1.00344992    
  0.932721615      0.822305083    
  0.692961633      0.630546808    
  0.456816256      0.428979278    
  0.225453913      0.218480155    
  -3.68083329E-06  -3.68083511E-06
 -0.218487278     -0.225461498    
 -0.428986102     -0.456824064    
 -0.630553365     -0.692969501    
 -0.822311223     -0.932729602    
  -1.00345564      -1.17489636    
  -1.17326021      -1.41822886    
  -1.33107984      -1.66146028    
  -1.47635388      -1.90330529    
  -1.60860884      -2.14246702    
  -1.72745979      -2.37764597    
  -1.83261275      -2.60754609    
  -1.92386460      -2.83088279    
  -2.00110364      -3.04639149    
  -2.06430936      -3.25283313    
  -2.11355209      -3.44900584    
  -2.14898992      -3.63374615    
  -2.17086911      -3.80594134    
  -2.17951894      -3.96453309    
  -2.17535043      -4.10852528    
  -2.15885258      -4.23698997    
  -2.13058758      -4.34907389    
  -2.09118676      -4.44400215    
  -2.04134607      -4.52108479    
  -1.98181951      -4.57971907    
  -1.91341543      -4.61939859    
  -1.83698893      -4.63970900    
  -1.75343597      -4.64033890    
  -1.66368759      -4.62107563    
  -1.56870234      -4.58181047    
  -1.46946049      -4.52254057    
  -1.36695623      -4.44336700    
  -1.26219082      -4.34449577    
  -1.15616572      -4.22623730    
  -1.04987633      -4.08900547    
 -0.944303513      -3.93331480    
 -0.840408504      -3.75977898    
 -0.739125073      -3.56910801    
 -0.641353965      -3.36210346    
 -0.547956049      -3.13965487    
 -0.459746867      -2.90273619    
 -0.377490968      -2.65239859    
 -0.301896572      -2.38976645    
 -0.233611032      -2.11603165    
 -0.173216194      -1.83244526    
 -0.121224485      -1.54031277    
  -7.80756176E-02  -1.24098623    
  -4.41334099E-02 -0.935856700    
  -1.96834262E-02 -0.626346946    
  -4.93103033E-03 -0.313903570    
  -5.41941622E-12   1.04109713E-05
  -4.93168412E-03  0.313924372    
  -1.96847264E-02  0.626367509    
  -4.41353433E-02  0.935877025    
  -7.80781806E-02   1.24100626    
 -0.121227652       1.54033244    
 -0.173219904       1.83246422    
 -0.233615309       2.11605000    
 -0.301901370       2.38978434    
 -0.377496213       2.65241551    
 -0.459752530       2.90275240    
 -0.547962129       3.13967037    
 -0.641360343       3.36211777    
 -0.739131749       3.56912136    
 -0.840415239       3.75979090    
 -0.944310427       3.93332529    
  -1.04988325       4.08901501    
  -1.15617287       4.22624540    
  -1.26219785       4.34450340    
  -1.36696315       4.44337320    
  -1.46946728       4.52254534    
  -1.56870902       4.58181429    
  -1.66369367       4.62107754    
  -1.75344169       4.64033937    
  -1.83699417       4.63970852    
  -1.91342020       4.61939621    
  -1.98182380       4.57971621    
  -2.04134965       4.52108002    
  -2.09118962       4.44399738    
  -2.13058949       4.34906769    
  -2.15885377       4.23698282    
  -2.17535114       4.10851717    
  -2.17951894       3.96452451    
  -2.17086816       3.80593133    
  -2.14898825       3.63373566    
  -2.11354923       3.44899416    
  -2.06430602       3.25282097    
